番号,文字,ヒーロー名,実物フルチェンジャーの動作
01,あ,アルカリパワード,上→下→上
02,い,イン ウォーター,右→左→右
03,う,ウルトランナー,下→上→下
04,え,エアロ パワー,左→右→左
05,お,オチャッパ,左下→右→左
06,か,カイザーエッジ,上→右→下
07,き,キングバッター,右→下→左
08,く,クラッシッカー,下→左→上
09,け,ケイタイがー,左→上→右
10,こ,コップエース,左下→上→右
11,さ,サカナード,上→左→下
12,し,シンデルター,右→上→左
13,す,スケボーライダー,下→右→上
14,せ,セロリスター,左→下→右
15,そ,ソウジキラー,左下→短い下→右
16,た,タコアキッド,短い上→右→短い上
17,ち,チンコーマン,短い右→下→短い右
18,つ,ツカイステイター,短い下→左→短い下
19,て,テッパンガー,短い左→上→短い左
20,と,トンガラリン,短い左下→上→短い左
21,な,ナガシマン,短い上→右→左
22,に,ニンジャーノン,短い右→下→上
23,ぬ,ぬいぬいちゃん,短い下→左→右
24,ね,ネジレイザー,短い左→上→下
25,の,ノーベルブレイン,短い左下→上→下
26,は,ハードハンマー,短い上→左→短い上
27,ひ,ヒートマン,短い右→上→短い右
28,ふ,フレイムグルメ,短い下→右→短い下
29,へ,ヘラクレスアーミー,短い左→下→短い左
30,ほ,ホットカード,短い左下→短い下→短い左
31,ま,マッスルさん,短い上→左→右
32,み,ミストウォーター,短い右→上→下
33,む,ムシムシマン,短い下→右→左
34,め,メガーテン,短い左→下→上
35,も,モビルロボX,左下→下→上
36,や,ヤキバード,上→下→左
37,ゆ,ユートロン,下→上→右
38,よ,ヨーヨーマスク,左下→右→下
39,ら,ラジアルロード,上→下→右
40,り,リモコンマン,右→左→下
41,る,ルビーフック,下→上→左
42,れ,レトロサウンダー,左→右→上
43,ろ,ロケットやろう,左下→右→短い上
44,わ,ワイルドソード,上→下→左上
45,が,ガッツラゴー,上→右下→短い左
46,ぎ,ギーニウン,右→左下→短い上
47,ぐ,グレートファイヤー,下→左上→短い右
48,げ,ゲーマルク,左→右上→短い下
49,ご,ゴウリキラー,左下→右上→短い下
50,ざ,ザ・クライマー,上→右下→短い右
51,じ,Gシャーク,右→左上→短い下
52,ず,ズームレーザー,下→右上→短い左
53,ぜ,ゼンマイン,左→右下→短い上
54,ぞ,ゾウシャワー,短い左下→短い右下→短い上
55,だ,ダイヤモール,上→右下→上
56,ぢ,ヂグロニャン,右→左下→右
57,づ,ヅィザーワン,下→左上→下
58,で,デンジャレッド,左→右上→左
59,ど,ドハツテン,左下→右上→左
60,ば,バルバルーン,上→左下→上
61,び,ビデオージャ,右→左上→右
62,ぶ,ブーブーウー,下→右上→下
63,べ,ベルトジャイン,左→右下→左
64,ぼ,ボートロン,短い左下→右下→左
65,ぱ,パーフェクトサン,上→左下→左上
66,ぴ,ピンスポーン,右→左上→右上
67,ぷ,プレスアーム,下→右上→右下
68,ぺ,ペガサスボーイ,左→右下→左下
69,ぽ,ポップサンダー,短い左下→短い右下→短い左下
70,ん,ンジャメナス,右→左下→右下
